,sorted_formula,host_material,Model,Model_Type,Value,Temperature_Value,Value_Average,Temperature_Average,source
3078,Cu27Te50Y24,CuTe2Y,ZT,,[0.73],[780.0],0.73,780.0,JMC_data
3079,Bi2Te3,Bi2Te3,ZT,,[0.1],[300.0],0.1,300.0,JMC_data
3080,Bi2Te3,Bi2Te3,ZT,,[1.0],[295],1.0,295.0,JMC_data
3081,Bi2Te3,Bi2Te3,ZT,,[1.1],[340.0],1.1,340.0,JMC_data
3082,Bi2Te3,Bi2Te3,ZT,,[0.6],[295],0.6000000000000001,295.0,JMC_data
3083,Bi2ETTe3,Bi2Te3,ZT,,[1.0],[373.0],1.0,373.0,JMC_data
3084,Bi2Te3,Bi2Te3,ZT,,[1.1],[340.0],1.1,340.0,JMC_data
3085,SeSn,SeSn,ZT,,[2.6],[750.0],2.6,750.0,JMC_data
3086,single,None,ZT,,[2.6],"[750.0, 800.0]",2.6,775.0,JMC_data
3087,SeSn,SeSn,ZT,,[0.12],[750.0],0.12,750.0,JMC_data
3088,CuPb100Se100,PbSe,ZT,,[1.6],[773.0],1.6,773.0,JMC_data
3089,CuPb100Se100,PbSe,ZT,,[1.6],[773.0],1.6,773.0,JMC_data
3090,CuPb100Se100,PbSe,ZT,,[1.6],[773.0],1.6,773.0,JMC_data
3091,BH4Na,BH4Na,ZT,,[0.155],[385.0],0.155,385.0,JMC_data
3092,SeSn,SeSn,ZT,,[2.6],[923.0],2.6,923.0,JMC_data
3093,BH4Na,BH4Na,ZT,,[0.04],[295],0.04,295.0,JMC_data
3094,Fe16Nd3Sb48Yb,Fe4NdSb12,ZT,,[0.81],[823.0],0.81,823.0,JMC_data
3095,Bi39Cu40O40Se40Sm,BiCuOSe,ZT,,[0.65],[823.0],0.65,823.0,JMC_data
3096,Bi39Cu40O40Se40Sm,BiCuOSe,ZT,,[0.65],[823.0],0.65,823.0,JMC_data
3097,BiCuOSe,BiCuOSe,ZT,,[1.5],[873.0],1.5,873.0,JMC_data
