,sorted_formula,host_material,Model,Model_Type,Value,Temperature_Value,Value_Average,Temperature_Average,source
1519,Fe15Sb10Ti9Y,Fe2SbTi,Seebeck,,[0.000117],[450.0],0.000117,450.0,JMC_data
1520,SeSn,SeSn,Seebeck,,[0.000566],[580.0],0.000566,580.0,JMC_data
1521,AgInTe2,AgInTe2,Seebeck,,[3.66e-05],[295],3.66e-05,295.0,JMC_data
1522,OZn,OZn,Seebeck,,[0.00025736],[1000.0],0.00025736,1000.0,JMC_data
1523,OZn,OZn,Seebeck,,[-0.0005],[295],-0.0005,295.0,JMC_data
1524,NbO200Zn199,OZn,Seebeck,,[-0.000263],[1000.0],-0.000263,1000.0,JMC_data
1525,AlLiSi,AlLiSi,Seebeck,,[0.00015999999999999999],[400.0],0.00016,400.0,JMC_data
1526,AlLiSi,AlLiSi,Seebeck,,[6.829999999999999e-05],[400.0],6.829999999999999e-05,400.0,JMC_data
1527,BCOY,None,Seebeck,,[1.8999999999999998e-06],[300.0],1.9e-06,300.0,JMC_data
1528,CoSSb,CoSSb,Seebeck,,[-0.000565],[300.0],-0.0005650000000000001,300.0,JMC_data
1529,LuNiSb,LuNiSb,Seebeck,,[1.28e-05],[380.0],1.28e-05,380.0,JMC_data
1530,SrTe,SrTe,Seebeck,,[6.5e-05],[295],6.500000000000001e-05,295.0,JMC_data
1531,Mg,Mg,Seebeck,,[0.000121],[300.0],0.000121,300.0,JMC_data
1532,SnTe,SnTe,Seebeck,,[0.000121],[300.0],0.000121,300.0,JMC_data
1533,InPb60Sn139Te200,PbSn4Te5,Seebeck,,[9.7e-05],[295],9.7e-05,295.0,JMC_data
1534,Mg2Pb15Sn33Te50,PbSn4Te5,Seebeck,,[3.2999999999999996e-05],[300.0],3.3e-05,300.0,JMC_data
1535,InMg8Pb60Sn131Te200,PbSn4Te5,Seebeck,,[0.000121],[300.0],0.000121,300.0,JMC_data
1536,SnTe,SnTe,Seebeck,,[0.000121],[295],0.000121,295.0,JMC_data
1537,Ca3Co4O9,Ca3Co4O9,Seebeck,,"[0.00016999999999999999, 0.000175]",[1073.0],0.00017250000000000002,1073.0,JMC_data
1538,Ca14Co20CuO45,Ca3Co4O9,Seebeck,,[0.00041999999999999996],[1073.0],0.00042,1073.0,JMC_data
1539,Ca16Sb11,Ca16Sb11,Seebeck,,[1.9999999999999998e-05],[1000.0],2e-05,1000.0,JMC_data
1540,BiSbTe,None,Seebeck,,[0.00022999999999999998],[350.0],0.00023,350.0,JMC_data
1541,OZn,OZn,Seebeck,,[-0.000188],[300.0],-0.000188,300.0,JMC_data
1542,Bi2S3,Bi2S3,Seebeck,,[0.000498],[295],0.0004980000000000001,295.0,JMC_data
1543,BS,None,Seebeck,,[0.000498],[298.0],0.0004980000000000001,298.0,JMC_data
1544,CaMnO3,CaMnO3,Seebeck,,[-0.0007999999999999999],[300.0],-0.0008,300.0,JMC_data
1545,DEOPT,None,Seebeck,,[1.8e-05],"[235.0, 350.0]",1.8e-05,292.5,JMC_data
1546,AINP,None,Seebeck,,[1.4999999999999999e-05],"[235.0, 350.0]",1.4999999999999999e-05,292.5,JMC_data
1547,BiSbTe,None,Seebeck,,[0.000178],[300.0],0.000178,300.0,JMC_data
1548,PdS,PdS,Seebeck,,[3.53e-05],[1073.0],3.53e-05,1073.0,JMC_data
1549,AlCuO2,AlCuO2,Seebeck,,[0.00047],[800.0],0.00047000000000000004,800.0,JMC_data
1550,Bi94Se21Te135,Bi2Te3,Seebeck,,[-4.9999999999999996e-05],[295],-5e-05,295.0,JMC_data
1551,Bi45Sb122Te333,BiSb3Te6,Seebeck,,[0.00015],[295],0.00015,295.0,JMC_data
1552,Bi45Sb122Te333,BiSb3Te6,Seebeck,,[0.00015],[295],0.00015,295.0,JMC_data
1553,Co2NaO4,Co2NaO4,Seebeck,,[9.999999999999999e-05],[295],0.0001,295.0,JMC_data
1554,S2Ti,S2Ti,Seebeck,,[-0.00017099999999999998],[295],-0.00017099999999999998,295.0,JMC_data
1555,Ca3Co4O9,Ca3Co4O9,Seebeck,,"[0.00016999999999999999, 0.000175]",[898.0],0.00017250000000000002,898.0,JMC_data
1556,BiSbTe3,BiSbTe3,Seebeck,,[0.00017099999999999998],[295],0.00017099999999999998,295.0,JMC_data
1557,BiSbTe3,BiSbTe3,Seebeck,,[0.00017099999999999998],[295],0.00017099999999999998,295.0,JMC_data
1558,BiITe,BiITe,Seebeck,,"[5.4999999999999995e-05, 5.9999999999999995e-05]",[400.0],5.7499999999999995e-05,400.0,JMC_data
1559,BiITe,BiITe,Seebeck,,[-0.00011499999999999999],[295],-0.00011499999999999999,295.0,JMC_data
1560,BiITe,BiITe,Seebeck,,[6.599999999999999e-05],[295],6.599999999999999e-05,295.0,JMC_data
1561,Bi2S3,Bi2S3,Seebeck,,[0.00039999999999999996],[295],0.0004,295.0,JMC_data
1562,Mn51Te49,MnTe,Seebeck,,[0.000414],[773.0],0.000414,773.0,JMC_data
1563,SbY,SbY,Seebeck,,[4.4e-05],[1200.0],4.4e-05,1200.0,JMC_data
1564,Ge13Ir4Y3,Ge13Ir4Y3,Seebeck,,[3.7999999999999995e-05],[295],3.8e-05,295.0,JMC_data
1565,OZn,OZn,Seebeck,,[-7e-05],[295],-7.000000000000001e-05,295.0,JMC_data
1566,Ca3PbS,None,Seebeck,,[0.000249487],[295],0.000249487,295.0,JMC_data
1567,PbSSr3,None,Seebeck,,[0.000258131],[295],0.00025813100000000004,295.0,JMC_data
1568,Bi2Te3,Bi2Te3,Seebeck,,[0.00027],[306.0],0.00027,306.0,JMC_data
1569,Bi2Te3,Bi2Te3,Seebeck,,[-6.5e-05],[300.0],-6.500000000000001e-05,300.0,JMC_data
1570,FeSbV,FeSbV,Seebeck,,[0.000126],[956.0],0.000126,956.0,JMC_data
1571,Sb2Te3,Sb2Te3,Seebeck,,[4.2999999999999995e-05],"[298.0, 573.0]",4.3e-05,435.5,JMC_data
1572,Sb2Te3,Sb2Te3,Seebeck,,[3.2999999999999996e-05],[300.0],3.3e-05,300.0,JMC_data
1573,Sb2Te3,Sb2Te3,Seebeck,,[4.2999999999999995e-05],"[298.0, 573.0]",4.3e-05,435.5,JMC_data
1574,Ag21Sb29Te54,AgSbTe2,Seebeck,,[0.0003],[295],0.00030000000000000003,295.0,JMC_data
1575,Bi2Te3,Bi2Te3,Seebeck,,[-0.00019999999999999998],[300.0],-0.0002,300.0,JMC_data
1576,crystalline,None,Seebeck,,[-7.2e-05],[473.0],-7.2e-05,473.0,JMC_data
1577,C2O,None,Seebeck,,[0.00013],[300.0],0.00013000000000000002,300.0,JMC_data
1578,Hf125Ni500SbSn499Ti250Zr125,None,Seebeck,,[-0.00035],[700.0],-0.00035000000000000005,700.0,JMC_data
1579,Hf3Ni10Sn10Zr7,None,Seebeck,,[-7.099999999999999e-05],[323.0],-7.099999999999999e-05,323.0,JMC_data
1580,Hf30Ni103Sn100Zr70,None,Seebeck,,[-0.000158],[773.0],-0.00015800000000000002,773.0,JMC_data
1581,SeSn,SeSn,Seebeck,,[0.000321],[700.0],0.000321,700.0,JMC_data
1582,SSn,SSn,Seebeck,,[0.00039999999999999996],[823.0],0.0004,823.0,JMC_data
1583,O2Ti,O2Ti,Seebeck,,[-0.00043999999999999996],[295],-0.00044,295.0,JMC_data
1584,O39Ti20,O2Ti,Seebeck,,[-0.0007999999999999999],[460.0],-0.0008,460.0,JMC_data
1585,O2Ti,O2Ti,Seebeck,,[0.06],[1053.0],0.06,1053.0,JMC_data
1586,DEOPT,None,Seebeck,,[3.9200000000000004e-05],[295],3.92e-05,295.0,JMC_data
1587,CrCuSe2,CrCuSe2,Seebeck,,[9.999999999999999e-05],[295],0.0001,295.0,JMC_data
1588,CrCuSe2,CrCuSe2,Seebeck,,[9.999999999999999e-05],[295],0.0001,295.0,JMC_data
1589,GdTe6Tl9,GdTe6Tl9,Seebeck,,[2.7e-05],[295],2.7e-05,295.0,JMC_data
1590,CoSb3,CoSb3,Seebeck,,[0.0006],[573.0],0.0006000000000000001,573.0,JMC_data
1591,CoSb3,CoSb3,Seebeck,,[-0.00025],[473.0],-0.00025,473.0,JMC_data
1592,CoSb3,CoSb3,Seebeck,,[5.8e-05],[295],5.8e-05,295.0,JMC_data
1593,Sb2SeSnTe3,None,Seebeck,,[6.5e-05],[320.0],6.500000000000001e-05,320.0,JMC_data
1594,Sb2SnTe4,Sb2SnTe4,Seebeck,,[1.9999999999999998e-05],[320.0],2e-05,320.0,JMC_data
1595,CNT,None,Seebeck,,[-8.599999999999999e-05],[295],-8.599999999999999e-05,295.0,JMC_data
1596,S2Ti,S2Ti,Seebeck,,[-7.8e-05],[295],-7.8e-05,295.0,JMC_data
1597,Mg200SbSi99,Mg2Si,Seebeck,,[-7.549999999999999e-05],[295],-7.549999999999999e-05,295.0,JMC_data
1598,Mg100SbSi49,Mg2Si,Seebeck,,[-6.19e-05],[295],-6.19e-05,295.0,JMC_data
1599,Mo3Sb7,Mo3Sb7,Seebeck,,[1.8e-05],[300.0],1.8e-05,300.0,JMC_data
1600,Mo14NiSb35,Mo3Sb7,Seebeck,,[2.2e-05],[300.0],2.2e-05,300.0,JMC_data
1601,Mo5NiSb14,Mo3Sb7,Seebeck,,[2.4e-05],[300.0],2.4e-05,300.0,JMC_data
1602,SeSn,SeSn,Seebeck,,[0.000516],[326.0],0.000516,326.0,JMC_data
1603,CrSV,None,Seebeck,,[-1e-06],"[200.0, 1000.0]",-1e-06,600.0,JMC_data
1604,CrSV,None,Seebeck,,[-1.2299999999999999e-06],[295],-1.23e-06,295.0,JMC_data
1605,LiMn2O4,LiMn2O4,Seebeck,,[-1.9999999999999998e-05],[280.0],-2e-05,280.0,JMC_data
1606,BaMn2Sb2,BaMn2Sb2,Seebeck,,[0.000225],[295],0.000225,295.0,JMC_data
1607,Bi2Te3,Bi2Te3,Seebeck,,[-0.000128],[295],-0.000128,295.0,JMC_data
