,sorted_formula,Model,Model_Type,Value,Temperature_Value,Value_Average,Temperature_Average,source
1853,Ba5HO13P3,Conductivity,ionic,[0.00019999999999999998],[673.0],0.0002,673.0,JMC_data
1854,BaGa2Sb2,Conductivity,,[6500.0],[295],6500.0,295.0,JMC_data
1855,CSi,Conductivity,,[2.0],[373.0],2.0,373.0,JMC_data
1856,Cu9NaS5,Conductivity,,[80000.0],[295],80000.0,295.0,JMC_data
1857,Cu39NaS20,Conductivity,,[6000.0],[295],6000.0,295.0,JMC_data
1858,Ba6Ge25,Conductivity,,[200000.0],[295],200000.0,295.0,JMC_data
1859,BaGe4,Conductivity,,[54000.0],[295],54000.0,295.0,JMC_data
1860,S2Ti,Conductivity,,[67600.0],[298.0],67600.0,298.0,JMC_data
1861,Bi2S3,Conductivity,,[400.0],[295],400.0,295.0,JMC_data
1862,Bi397S600Sn3,Conductivity,,[7670.0],[573.0],7670.0,573.0,JMC_data
1863,Ag7Cu3S20Sb10,Conductivity,,[0.0055],[287.0],0.0055000000000000005,287.0,JMC_data
1864,Cu3Se100Sn197,Conductivity,,[5300.0],[813.0],5300.0,813.0,JMC_data
1865,AlCuO2,Conductivity,,[450.0],[873.0],450.0,873.0,JMC_data
1866,Al49Cu50FeO100,Conductivity,,[423.00000000000006],[1073.0],423.0,1073.0,JMC_data
1867,Ag20Cu979O2000Zn10,Conductivity,,[400.0],[1373.0],400.0,1373.0,JMC_data
1868,Co3O4,Conductivity,,[11138.0],[1000.0],11138.0,1000.0,JMC_data
1869,CCaO3,Conductivity,,[9914.0],[1000.0],9914.0,1000.0,JMC_data
1870,BiSb3Te6,Conductivity,,[22000.0],[295],22000.0,295.0,JMC_data
1871,Bi5Se3Te27,Conductivity,,[10000.0],[295],10000.0,295.0,JMC_data
1872,Ag9GaSe6,Conductivity,,[5000.0],[300.0],5000.0,300.0,JMC_data
1873,Ag900Ga100Se597,Conductivity,,[58000.0],[300.0],58000.0,300.0,JMC_data
1874,Sb2Te3,Conductivity,,[10000.0],[295],10000.0,295.0,JMC_data
1875,SnTe,Conductivity,,[825700.0],[295],825700.0,295.0,JMC_data
1876,Ge3Sb3Sn44Te50,Conductivity,,[254300.0],[295],254300.0,295.0,JMC_data
1877,GeSbSn23Te25,Conductivity,,[435400.0],[295],435400.0,295.0,JMC_data
1878,GeSbSn23Te25,Conductivity,,[582900.0],[295],582900.0,295.0,JMC_data
1879,BiSbSe3,Conductivity,,[30000.0],[300.0],30000.0,300.0,JMC_data
1880,Bi120I9Sb80Se291,Conductivity,,[8000.0],[700.0],8000.0,700.0,JMC_data
1881,Bi30Cl6Sb20Se69,Conductivity,,[16500.0],[700.0],16500.0,700.0,JMC_data
1882,Bi25Cl6Sb25Se69,Conductivity,,[13200.0],[300.0],13200.0,300.0,JMC_data
1883,Bi30Cl6Sb20Se69,Conductivity,,[39700.0],[300.0],39700.0,300.0,JMC_data
1884,Ag2Te,Conductivity,,[30000.0],[295],30000.0,295.0,JMC_data
1885,CoLiO2,Conductivity,,[30000.0],[295],30000.0,295.0,JMC_data
1886,SnTe,Conductivity,,[820500.0],[295],820500.0,295.0,JMC_data
1887,InPbSn98Te100,Conductivity,,[370000.0],[295],370000.0,295.0,JMC_data
1888,Mg2Si,Conductivity,,[250000.0],"[300.0, 900.0]",250000.0,600.0,JMC_data
1889,Mg2Si,Conductivity,,[260000.0],[295],260000.0,295.0,JMC_data
