,sorted_formula,Model,Model_Type,Value,Temperature_Value,Value_Average,Temperature_Average,source
2709,AgPb18SbSe20,ThermCond,lattice,[0.8],[295],0.8,295.0,JMC_data
2710,OZn,ThermCond,total,[5.0],[1273.0],5.0,1273.0,JMC_data
2711,AlO50Zn49,ThermCond,total,[2.0],[1073.0],2.0,1073.0,JMC_data
2712,Ag8Se6Sn,ThermCond,lattice,[0.2],"[300.0, 800.0]",0.2,550.0,JMC_data
2713,Ag2000Se1500Sn251,ThermCond,lattice,[0.25],[715.0],0.25,715.0,JMC_data
2714,Ag1600Se1200Sn201,ThermCond,lattice,[0.25],[715.0],0.25,715.0,JMC_data
2715,MoS2,ThermCond,total,[29.2],[295],29.2,295.0,JMC_data
2716,MoS2,ThermCond,total,[34.5],[295],34.5,295.0,JMC_data
2717,MoS2,ThermCond,total,[1.35],[295],1.35,295.0,JMC_data
2718,MoS2,ThermCond,total,[29.2],[295],29.2,295.0,JMC_data
2719,Pristine,ThermCond,total,[1.0],[923.0],1.0,923.0,JMC_data
2720,Ge75Pb20Se30Sm3Te70,ThermCond,lattice,[0.41],[573.0],0.41,573.0,JMC_data
2721,Pb20Se30Sm3Te70,ThermCond,lattice,[0.41],[573.0],0.41,573.0,JMC_data
2722,RhScTe,ThermCond,lattice,[24.77],[300.0],24.77,300.0,JMC_data
2723,RhScTe,ThermCond,lattice,[24.77],[295],24.77,295.0,JMC_data
2724,Mg2Si,ThermCond,total,[2.8],[300.0],2.8,300.0,JMC_data
2725,Bi2O2Se,ThermCond,lattice,[1.1],[295],1.1,295.0,JMC_data
2726,Bi2O2Te,ThermCond,total,[0.91],[295],0.91,295.0,JMC_data
2727,Mg2Sb2Yb,ThermCond,lattice,[1.15],[773.0],1.15,773.0,JMC_data
2728,Mg6Sb10Yb5Zn4,ThermCond,lattice,[0.75],[773.0],0.75,773.0,JMC_data
2729,GaNi3Sb,ThermCond,lattice,[3.2],[295],3.2,295.0,JMC_data
2730,Ba4Ge23,ThermCond,lattice,[1.0],[300.0],1.0,300.0,JMC_data
2731,CoSb3,ThermCond,lattice,[10.0],[300.0],10.0,300.0,JMC_data
2732,CoSb3,ThermCond,total,[1.1],[295],1.1,295.0,JMC_data
2733,Bi2S3,ThermCond,total,[1.0],[295],1.0,295.0,JMC_data
2734,SSr,ThermCond,lattice,[10.7],[295],10.7,295.0,JMC_data
2735,PbS,ThermCond,total,[2.35],[295],2.35,295.0,JMC_data
2736,SSr,ThermCond,lattice,[10.7],[295],10.7,295.0,JMC_data
2737,SSr,ThermCond,lattice,[10.7],[295],10.7,295.0,JMC_data
2738,SeSn,ThermCond,total,"[0.46, 0.7]",[300.0],0.58,300.0,JMC_data
2739,Cu4Ge3Se5,ThermCond,lattice,[0.6],[750.0],0.6000000000000001,750.0,JMC_data
2740,Fe5Nb2Sb5V3,ThermCond,total,[5.5],[300.0],5.5,300.0,JMC_data
2741,FeNbSb,ThermCond,total,[18.0],[300.0],18.0,300.0,JMC_data
2742,AsSe20Te179,ThermCond,lattice,[0.3],"[400.0, 600.0]",0.30000000000000004,500.0,JMC_data
2743,NiSnTi,ThermCond,total,[7.0],[295],7.0,295.0,JMC_data
