,composition_name,bulk_mod,num_atoms,volume,density,spacegroup,spacegroup_num
1274,Ba1Fe1K1O3,58.26205054393781,24,451.5735602277189,4.122445017841101,Cmce,64
1275,Pd16S7,111.16551929742506,23,372.2399948224158,8.597005749480378,I-43m,217
1276,B1Ir1Mg1,172.20226247998352,18,231.5075691526439,9.783576295386107,P6_222,180
1277,C2H12F5Fe1N2,77.92192453694737,88,789.7002930192502,1.808084733395691,Pnma,62
1278,O9P3Pb1Rb1,80.77322992845068,112,1772.0077758245889,3.9701604547544767,P2_1/c,14
1279,H4Ba1O4P2,58.0781173085424,22,320.42112809881473,2.7705322971026423,Ccce,68
1280,C2B12Li2,168.750566820383,16,119.84832907013339,2.3226450698551053,Amm2,38
1281,K1O8S2V1,77.4158020725445,48,679.6207884709784,2.7576908398068944,R-3,148
1282,Rb6S7Sn2,23.822912614140638,60,2106.523218112014,3.0733052310804276,P2_12_12_1,19
1283,H11In1O13S2,83.85799836672719,108,1050.733609139628,2.516109788451106,P2_1/c,14
1284,Mn1O6Pb2W1,120.72250435532695,20,276.74611061144515,8.990431199718001,Fm-3m,225
1285,B1Ge1Li1O4,120.46508120333054,7,72.72802250350722,3.52505064006634,I-4,82
1286,C4H6Cu1O8,79.60045277881521,76,848.3720563916203,1.9231229088231245,Pbca,61
1287,Cl8Nb3,50.85148198336369,22,555.6719755404166,3.3609496030328194,P-3m1,164
1288,Cu5Li2O14Si4,126.20708139183658,25,282.8847290627677,3.920854147335305,P-1,2
1289,Co1S1Sb1,95.0894240156451,6,103.3481204304257,6.8369563580914665,Pmn2_1,31
1290,C3H9Cl1Si1,44.58909660026536,28,365.34930672312373,0.9875720664367857,P2_1/m,11
1291,C8H12Cl4N4O2P4,54.317356976909174,68,961.5174443565138,1.5954478270508288,P-1,2
1292,As3Cl1O12Pb5,69.06778271617792,84,1440.7150377605367,6.861125971085956,P2_1/c,14
1293,Cs4F1K3O20Si4U3,80.15152179343508,70,1284.8180686968838,4.689798462252898,Cmc2_1,36
1294,Bi1Ce1O1S2,86.17814198854798,10,219.52980609203559,6.493388956885671,P4/nmm,129
1295,K1Na2O15Si6Y1,92.62706435532371,50,703.9030506105732,2.748229495037466,Imma,74
1296,Ba2Co4O11Tb2,143.88286776804645,19,237.13555108541976,7.032115600100025,Pmmm,47
1297,I4Sn1,6.9588222757997125,5,298.93895866364716,3.4791113138617904,P-43m,215
1298,Al1Cs9O4,12.119454343518536,28,1467.5842002954414,2.9127141990999124,I4/mcm,140
