,composition_name,original_file_name
244,O4P1Tl3,POSCAR_sg173_icsd_023474
245,I3Ir1Y3,POSCAR_sg11_icsd_071524
246,C4H12Cd2O14,POSCAR_sg1_icsd_170115
247,C11H3N1O11Ru4,POSCAR_sg2_icsd_037259
248,B4Ba2F16,POSCAR_sg14_icsd_086149
249,Be22W1,POSCAR_sg227_icsd_058755
250,H2As2Cs1O8Sc1,POSCAR_sg2_icsd_414677
251,B8Co2Ru18Ti9,POSCAR_sg127_icsd_421248
252,C8B2N8Zn1,POSCAR_sg164_icsd_415547
253,H6Ca1O16S4,POSCAR_sg2_icsd_085073
254,H16Cl4Co1Mg1O8,POSCAR_sg2_icsd_096559
255,Cl9Cu5Rb4,POSCAR_sg7_icsd_201786
256,O4Sb1V1,POSCAR_sg109_icsd_084567
257,Ga2Ge1La2S8,POSCAR_sg36_icsd_262241
258,F2Mg5O8Si2,POSCAR_sg14_icsd_252072
259,H1N1S9,POSCAR_sg62_icsd_405274
260,H1B1Ba1Co1O9P2,POSCAR_sg2_icsd_409966
261,Ba3Ge4,POSCAR_sg136_icsd_391061
262,Ba3Ge4,POSCAR_sg65_icsd_391060
263,O3,POSCAR_sg61_icsd_051500
264,Be1Cr1S7Sm3,POSCAR_sg173_icsd_616239
265,Cs3Hg1I5,POSCAR_sg61_icsd_020653
266,Cd3P2,POSCAR_sg137_icsd_620219
267,H6Al1K3,POSCAR_sg139_icsd_153683
268,Cl6Hf1Te8,POSCAR_sg2_icsd_410306
269,Cl4Re6S8Tl2,POSCAR_sg2_icsd_162301
270,Au1Se1,POSCAR_sg12_icsd_073669
271,Au4K1Sn6,POSCAR_sg70_icsd_249644
272,O24Os4Sr11,POSCAR_sg15_icsd_067821
273,C4H12N4O11U1,POSCAR_sg14_icsd_159008
274,Cu2Na6O6,POSCAR_sg64_icsd_065237
275,C1Li1N1S1,POSCAR_sg62_icsd_425061
276,H8Cs3O16P3Te1,POSCAR_sg14_icsd_063136
277,Cr2S3,POSCAR_sg163_icsd_016720
278,Cr2S3,POSCAR_sg148_icsd_626604
279,B1Ba1Cl1F4,POSCAR_sg31_icsd_188654
280,Ag2Rh15S15,POSCAR_sg221_icsd_605703
281,Na8O18Si7,POSCAR_sg148_icsd_085551
282,C3H9D1F6Sb2,POSCAR_sg14_icsd_151071
283,Ba1Ga2S4,POSCAR_sg205_icsd_615871
284,H3Cd2Cl1O3,POSCAR_sg62_icsd_039285
285,F7K1Pd1Zr1,POSCAR_sg52_icsd_079071
286,Al18O72P18,POSCAR_sg32_icsd_248665
287,H15B21Cs1F3,POSCAR_sg19_icsd_262572
288,Eu1Ga1S3,POSCAR_sg14_icsd_631268
289,H2Dy2Mo3O17Se2,POSCAR_sg11_icsd_261657
290,C108H30F36N1P2,POSCAR_sg2_icsd_248349
291,Ru9Sb8Zn7,POSCAR_sg225_icsd_261057
292,C22H48Fe1Gd1N6O8S8,POSCAR_sg13_icsd_170010
293,N6Ni1O12Sr2,POSCAR_sg225_icsd_024509
294,C2H16B10O12,POSCAR_sg15_icsd_410414
295,Cl8O9Re4,POSCAR_sg2_icsd_010302
296,Sb1Se6Tl9,POSCAR_sg85_icsd_056385
297,Cl2N2S1Se2,POSCAR_sg61_icsd_069982
298,C2H8N6O7,POSCAR_sg15_icsd_417769
299,S3Sr1,POSCAR_sg41_icsd_023638
300,B3Cr2,POSCAR_sg63_icsd_601350
301,Ba3N2O1Zn1,POSCAR_sg123_icsd_055536
302,H8Mg7O16P2,POSCAR_sg14_icsd_092918
303,O11P1W3,POSCAR_sg19_icsd_201768
