compound,icsd,sg,Eg (eV),m*b (vb),m*b (cb),Nb (vb),Nb (cb),kL,mob (h),mob (e),beta (p),beta (n),cite
O2Ti1,41493,152,3.53,4.064,1.735,3,1,15.71,0.63,2.26,0.88,0.49,Non-Zintl
O2Zn1,60763,205,2.03,1.195,6.019,2,2,9.96,12.84,1.13,1.54,0.58,Non-Zintl
O2Zr1,67004,29,4,2.227,2.351,1,5,16.76,6.73,6.2,0.46,2.21,Non-Zintl
O2Zr1,88022,137,4.14,1.217,0.68,2,1,87.04,14.82,35.47,1.13,0.8,Non-Zintl
O2Zr1,92096,225,3.7,0.365,0.921,13,2,57.62,124.4,31.08,10.58,0.93,Non-Zintl
O2Zr1,80050,14,3.79,3.468,2.324,1,1,14.83,3.15,5.73,0.36,0.45,Non-Zintl
O2Zr1,173960,61,3.92,2.006,1.238,3,4,11.54,8.57,17.67,1.75,3.12,Non-Zintl
O2Zr1,164736,1,4.14,1.189,0.666,2,1,86.9,15.34,36.62,1.15,0.81,Non-Zintl
O2Zr1,79914,62,3.12,1.334,0.809,2,1,619.03,89.64,189.86,0.57,0.39,Non-Zintl
O2Zr1,92091,137,4.14,1.169,0.666,2,1,86.93,15.74,36.62,1.16,0.82,Non-Zintl
O3,51500,61,0.74,5.456,4.401,2,1,0.71,0.02,0.03,0.66,0.38,Non-Zintl
O3Pb1Rb2,1413,36,1.28,11.276,0.23,1,1,3.27,0.11,38.31,0.3,3.09,Non-Zintl
O3Pb1Rb2,62139,62,1.28,5.83,0.188,3,1,1.58,0.3,52.24,1.61,4.22,Non-Zintl
O3Pb1Sr1,4121,62,0.8,1.044,0.403,11,1,6.16,11.72,48.82,12.86,2.07,Non-Zintl
O3Pb1Ti1,1613,123,1.98,0.265,1.617,3,3,4,149.26,9.88,4.56,1.54,Non-Zintl
O3Pb1Ti1,182929,87,2.4,0.976,1.059,1,1,2.99,5.78,5.11,1.56,1.49,Non-Zintl
O3Pb1Ti1,27949,47,1.98,0.254,1.597,3,3,4.96,158.66,10.04,4.69,1.55,Non-Zintl
O3Pb1Ti1,29117,123,1.98,0.268,1.61,3,3,4.65,146.56,9.95,4.53,1.54,Non-Zintl
O3Pb1Ti1,262090,221,1.98,0.269,1.612,3,3,4,145.27,9.93,4.51,1.54,Non-Zintl
O3Pb1Ti1,61169,99,1.99,0.276,1.901,2,1,0.95,19.14,1.06,6.71,1.05,Non-Zintl
O3Pb1Ti1,162043,221,1.98,0.266,1.614,3,3,4,148.19,9.91,4.54,1.54,Non-Zintl
O3Pb1Zr1,39607,38,2.64,0.702,0.136,2,2,2.89,24.56,289.33,1.82,4.87,Non-Zintl
O3Pb1Zr1,262104,221,2.21,3.626,0.083,3,3,3.95,2.59,747.09,0.93,9,Non-Zintl
O3Pb2,23760,14,1.04,2.254,2.155,4,1,2.64,2.17,2.33,4.09,1.05,Non-Zintl
O3Pb2,36243,11,0.82,0.554,0.98,2,2,1.1,6.15,2.62,5.72,4.06,Non-Zintl
O3Rb1,47164,14,0.17,8.802,6.21,2,2,1.11,0.06,0.1,0.74,0.92,Non-Zintl
O3Rb2Sn2,24816,166,1.21,0.112,0.351,1,2,1.03,66.87,12.08,4.36,4.39,Non-Zintl
O3Rb2Ti1,6101,64,3.91,5.711,1.553,7,2,1.58,0.25,1.76,3.26,2.04,Non-Zintl
O3Sc2,160218,12,3.79,2.127,1.59,1,1,13.54,6.14,9.5,0.45,0.54,Non-Zintl
O3Sc2,160203,164,3.8,0.677,0.706,1,4,27.29,33.49,31.4,0.65,2.53,Non-Zintl
O3Si1Sr1,59308,15,4.61,5.514,0.199,3,1,3.52,0.64,93.92,1.18,2.89,Non-Zintl
O3Si1Zn1,167186,148,3.61,4.097,0.083,6,1,53.56,2.51,870.52,1.88,3.26,Non-Zintl
O3Sn1Sr1,59161,62,1.75,0.602,0.128,13,1,16.12,34.96,356.85,17.63,3.43,Non-Zintl
O3Sn1Sr1,153531,74,1.63,1.147,0.089,7,1,13.28,13.33,612.85,5.2,3.44,Non-Zintl
O3Sn1Sr1,27047,221,1.03,1.147,0.034,9,1,4.39,13.86,2715.68,5.27,4.83,Non-Zintl
O3Sn1Sr1,153532,140,1.57,1.493,0.064,10,1,7.08,9,1002.32,6.35,4.18,Non-Zintl
O3Sn1Sr1,181089,221,1.01,1.143,0.033,9,1,4.02,13.95,2868.7,5.27,4.93,Non-Zintl
