compound,icsd,sg,Eg (eV),m*b (vb),m*b (cb),Nb (vb),Nb (cb),kL,mob (h),mob (e),beta (p),beta (n),cite
Ga2Te4Zn1,44888,82,1.02,0.571,0.02,3,3,3.54,7.99,1234.51,4.5,33.78,Non-Zintl
Ga2Te5,32034,87,1.01,0.634,0.132,6,6,0.88,2.68,28.31,12.09,31.07,Non-Zintl
Ga3N5Sr3,170443,2,1.36,1.552,0.041,2,1,4.8,5.6,1288.98,1.67,7.36,Non-Zintl
Ga4Ge1O8,202044,12,2.03,4.244,0.051,2,1,14.6,1.91,1441.36,0.72,5.12,Non-Zintl
Ga4O7Sr1,10316,15,2.44,4.895,0.115,1,1,9.73,1,276.13,0.41,3.86,Non-Zintl
Ga4O8Ti1,155638,12,2.58,4.295,0.319,2,1,16.08,1.87,92.48,0.68,1.63,Non-Zintl
Ga5La3O14Sn1,55416,150,3.24,4.803,0.124,3,1,9.03,1.35,324.89,1.25,3.74,Non-Zintl
Ge1Hf1O4,202080,88,3.99,6.489,0.116,2,1,22.28,1.5,622.92,0.57,3.18,Non-Zintl
Ge1Hg2O4,26340,70,0.93,6.083,0.143,2,1,1.54,0.22,61.95,1.25,5.94,Non-Zintl
Ge1In1K1S4,73693,2,2.349,5.288,0.87,2,2,0.9,0.37,1.27,8.969,3.437,Non-Zintl
Ge1In2Li2S6,262643,9,2.044,1.1,0.211,2,1,2.11,2.95,30.48,2.958,3.265,Non-Zintl
Ge1K1La1S4,73970,4,2.51,1.93,2.614,1,2,1.15,0.76,0.48,0.83,1.39,Non-Zintl
Ge1K1Na1O3,30910,33,3.03,7.559,0.131,2,1,2.29,0.24,103.47,0.71,4.05,Non-Zintl
Ge1K1S4Y1,603205,4,2.57,1.752,3.318,2,1,1.41,1.01,0.39,1.63,0.56,Non-Zintl
Ge1K3S3,636776,12,2.4,1.205,0.762,5,2,1.57,1.78,3.54,4.48,2.36,Non-Zintl
Ge1K4O4,37271,2,2.82,8.075,0.138,2,1,2.51,0.18,79.11,0.6,3.47,Non-Zintl
Ge1La2Mg1O6,97016,146,3.98,1.985,14.239,5,3,8.01,6.23,0.32,2.76,0.51,Non-Zintl
Ge1Li2Pb1S4,281011,121,2.249,0.877,2.036,4,2,2.51,1.68,1.63,0.721,1.229,Non-Zintl
Ge1Li4S4,95649,62,2.511,0.76,0.479,5,3,2.56,0.74,11.65,0.374,5.288,Non-Zintl
Ge1Mg1N2,23502,33,2.66,0.963,0.046,2,1,17.8,18.57,1806.32,1.61,5.02,Non-Zintl
Ge1Mg1O3,160852,63,2.52,1.149,0.053,9,1,13.79,15.32,1561.84,6.37,4.5,Non-Zintl
Ge1Mg1O3,201664,15,2.5,1.154,0.082,3,1,8.24,10.07,531.59,2.71,4.42,Non-Zintl
Ge1Mg1O3,171786,148,3.66,3.965,0.089,6,1,15.19,2.46,734.76,1.89,3.09,Non-Zintl
Ge1Mg1P2,182369,122,1.51,0.365,0.473,1,4,13.66,34.84,23.63,1.17,3.99,Non-Zintl
Ge1Mg2O4,86505,227,3.08,3.716,0.081,3,1,15.26,2.65,823.29,1.03,3.42,Non-Zintl
Ge1Mg2O4,41415,62,3.38,1.435,0.082,2,1,8.5,7.54,554.24,1.65,4.59,Non-Zintl
Ge1Mg2O4,1086,227,3.08,3.722,0.083,3,1,16.6,2.64,796.79,1.03,3.38,Non-Zintl
Ge1Mg2S4,23525,62,2.31,0.634,0.402,3,2,3.49,12.24,24.23,3.97,3.47,Non-Zintl
Ge1Mn1O3,73243,148,0.66,12.927,11.59,2,1,49.6,0.5,0.59,0.32,0.17,Non-Zintl
Ge1N2Sr2,153302,64,0,0.374,0.585,4,2,2.94,31.79,16.23,8.2,3.13,Non-Zintl
Ge1N2Zn1,155462,33,1.7,0.769,0.028,3,1,31.17,28.81,4203.72,3.1,7.59,Non-Zintl
Ge1Na1O4Y1,28213,33,3.53,3.716,0.122,2,1,9.28,1.4,234.67,0.98,3.81,Non-Zintl
Ge1Na1O4Y1,85497,62,3.53,3.698,0.119,2,1,4.47,1.41,245.48,0.99,3.88,Non-Zintl
Ge1Na2O3,23781,36,2.97,2.1,0.14,8,1,6.81,2.06,119.08,4.68,2.97,Non-Zintl
Ge1Na2O4Zn1,76314,7,2.61,6.599,0.092,3,1,5.99,0.49,295.79,0.94,4.05,Non-Zintl
Ge1Na2O5Ti1,160149,59,3.59,4.163,2.81,1,5,13.17,1.11,2.01,0.39,2.48,Non-Zintl
Ge1Na2O5Ti1,160148,129,3.59,4.169,2.848,1,5,13.17,1.11,1.97,0.39,2.46,Non-Zintl
Ge1Na2O5Ti1,20129,129,3.59,4.159,3.291,1,4,9.36,1.11,1.58,0.39,1.8,Non-Zintl
Ge1Na2S3,653637,14,2.46,1.206,0.226,1,1,1.55,1.63,20.02,1.1,3.01,Non-Zintl
Ge1Na4O4,61496,2,2.82,7.175,0.135,4,1,3.54,0.32,125.69,1.22,3.3,Non-Zintl
Ge1Ni2O4,69508,227,0.93,2.093,2.296,3,3,3.06,2.27,1.97,2.33,2.2,Non-Zintl
Ge1O1Sr3,413385,62,0.44,0.266,0.195,3,1,4.19,38.26,61.32,7.67,3.09,Non-Zintl
Ge1O2,158590,136,1.2,1.093,0.038,1,1,46.24,20.23,3158.76,0.61,4.58,Non-Zintl
Ge1O2,281601,205,0.78,4.377,0.02,4,1,29.86,2.98,9316.74,1.29,8.07,Non-Zintl
Ge1O2,59634,152,3.24,9.968,0.142,3,1,4.57,0.13,78.05,0.83,3.55,Non-Zintl
Ge1O2,23783,92,3.26,3.476,0.173,1,1,1.77,0.33,29.66,0.65,3.91,Non-Zintl
Ge1O2,66593,154,3.25,10.212,0.142,3,1,4.76,0.13,80.63,0.82,3.54,Non-Zintl
Ge1O2,158598,58,1.2,1.106,0.038,1,1,46.3,19.88,3140.25,0.6,4.57,Non-Zintl
Ge1O2,94240,60,1.53,2.96,0.032,3,1,62.53,5.06,4468.27,1.2,6.05,Non-Zintl
Ge1O3Pb1,172521,148,2.67,1.07,0.274,5,2,1.81,3.48,26.91,8.69,7.88,Non-Zintl
Ge1O3Sr1,28603,189,2.98,2.764,0.153,2,1,6.01,1.3,99.48,1.19,3.37,Non-Zintl
Ge1O3Sr1,59303,15,3.36,2.25,0.202,5,1,5.18,2.12,78.73,3.82,3.24,Non-Zintl
Ge1O3Zn1,33722,148,2.09,7.742,0.045,2,1,28.71,0.87,1940.6,0.48,5.22,Non-Zintl
Ge1O3Zn1,183725,161,1.35,3.533,0.035,2,1,52.36,3.28,3261.37,0.73,5.81,Non-Zintl
Ge1O4Sr2,56382,14,3.53,7.326,0.106,2,1,6.69,0.46,262.72,0.73,4.67,Non-Zintl
Ge1O4Zr1,29262,88,3.93,5.838,1.426,2,4,36.2,1.68,13.9,0.52,2.41,Non-Zintl
Ge1O5Pb3,200517,3,2.37,1.761,0.928,1,1,0.81,0.78,2.04,1.37,2.01,Non-Zintl
Ge1O5Pb3,100275,4,2.32,2.267,0.421,2,1,1.01,0.65,8.16,2.6,3.57,Non-Zintl
Ge1O8Zr3,29263,121,4.13,2.409,3.519,2,2,60.12,6.14,3.48,0.87,0.69,Non-Zintl
Ge1P1,637492,12,1.02,0.645,0.274,4,4,0.35,0.49,1.76,8.01,13.38,Non-Zintl
Ge1P2Zn1,637510,122,1.17,0.249,0.091,3,5,11.81,71.37,321.42,4.97,15.12,Non-Zintl
Ge1Pb1S3,2090,14,1.8,0.48,1.05,3,1,0.79,3.5,1.08,8.67,1.81,Non-Zintl
Ge1Pb1S4Tl2,14112,14,1.973,2.102,0.59,3,2,0.65,0.41,2.56,4.893,6.294,Non-Zintl
Ge1Pb2S4,16272,14,2.05,0.959,0.642,4,3,1.25,2.58,4.71,7.45,7.1,Non-Zintl
Ge1Pt1S1,637646,29,0.63,0.112,0.102,9,2,5.87,411.28,474.09,34.19,8.04,Non-Zintl
Ge1Rb1S5Ta1,417874,2,1.232,2.983,1.359,2,1,0.79,1.27,0.8,16.264,1.313,Non-Zintl
Ge1S1,155418,63,0.67,0.4,0.251,2,1,1.18,8.63,17.36,3.65,2.42,Non-Zintl
Ge1S1,38165,62,1.19,1.046,0.15,1,3,1.73,1.8,33.11,1.24,11.92,Non-Zintl
Ge1S2,637782,43,2.26,3.674,0.449,4,3,1.1,0.16,3.77,2.5,6.63,Non-Zintl
Ge1S2,167194,122,2.58,0.857,1.042,7,4,3.13,2.67,1.99,7.5,3.81,Non-Zintl
Ge1S2Tl1,53901,62,1.77,1.871,0.514,6,2,0.72,0.44,3.39,7.5,6.245,Non-Zintl
Ge1S3Sn1,637796,14,1.55,0.322,0.972,3,3,0.54,2.74,0.52,10.13,5.22,Non-Zintl
Ge1S4Sr2,23420,11,2.32,1.419,0.968,1,1,2.24,2.32,4.13,0.84,1.06,Non-Zintl
Ge1S4Tl4,100161,9,1.841,2.849,0.938,1,4,0.63,0.14,1.26,0.557,8.847,Non-Zintl
Ge2Hg3K2S8,281506,5,1.52,0.37,0.188,5,1,1.04,8.46,23.32,13.61,4.08,Non-Zintl
Ge2Hg3K2S8,281504,41,1.52,0.395,0.141,4,1,1.02,7.52,35.37,12.4,5.76,Non-Zintl
Ge2In1K1O6,65337,15,2.32,4.989,0.085,5,1,4.66,0.89,396.33,2.05,4.71,Non-Zintl
Ge2In2O7,20053,12,1.83,5.517,0.042,1,1,23.92,1.18,1797.53,0.29,5.48,Non-Zintl
Ge2In2O7,74896,12,1.83,5.413,0.047,1,1,21.55,1.21,1510.08,0.3,5.11,Non-Zintl
Ge2K2O6Zn1,65740,20,2.84,4.764,0.13,1,1,3.67,0.44,96.83,0.49,4.21,Non-Zintl
Ge2K2O7Pb2,30247,147,3.09,3.961,0.751,1,2,1.44,0.52,6.32,0.58,3.13,Non-Zintl
Ge2K2O7Zr1,88843,15,3.89,1.938,0.206,7,1,2.76,2.29,65.85,5.67,3.11,Non-Zintl
Ge2K2Pb1S6,170601,15,2.15,2.467,1.976,3,1,1,0.41,0.57,2.6,0.99,Non-Zintl
Ge2K6O7,73550,7,3.08,5.742,0.207,6,1,2.28,0.3,43.84,2.54,3.11,Non-Zintl
Ge2K6S6,47111,12,2.4,1.213,0.756,5,2,2.04,1.76,3.58,4.46,2.37,Non-Zintl
Ge2La2O7,202606,1,3.6,8.795,0.169,1,1,6.88,0.43,161.39,0.3,3.23,Non-Zintl
Ge2Mg1O7Sr2,420522,113,3.58,6.297,0.134,5,1,5.07,0.56,181.81,1.8,3.62,Non-Zintl
Ge2N3Na1,47100,36,2.34,1.78,0.058,10,1,19.21,6.74,1149.01,5.44,4.25,Non-Zintl
Ge2N4Si1,183103,227,1.68,0.858,0.093,3,3,22.98,36.46,1028.15,2.42,9.19,Non-Zintl
Ge2N6Sr5,419164,15,1.36,0.68,0.079,6,1,3.69,15.09,378.62,8.86,5.36,Non-Zintl
Ge2Na1O6Sc1,22503,15,3.47,2.142,0.145,4,1,5.8,2.74,155.83,2.67,3.36,Non-Zintl
Ge2Na2O7Zr1,20402,2,3.66,8.017,0.133,1,1,6.28,0.35,164.55,0.32,3.72,Non-Zintl
Ge2Na6S7,25388,15,2.43,2.98,0.187,6,1,1.82,0.53,33.54,3.75,3.29,Non-Zintl
Ge2O7Rb6,73551,14,2.86,4.838,0.17,2,1,1.57,0.35,52.82,1.13,4.2,Non-Zintl
Ge2O7Sr2Zn1,420521,113,3.09,8.579,0.116,2,1,5.45,0.36,231.54,0.62,4.1,Non-Zintl
Ge2Rb4S6,409729,12,2.33,5.537,1.4,2,1,0.99,0.12,0.95,0.87,0.99,Non-Zintl
Ge2S6Tl4,2240,2,1.694,0.463,1.093,10,2,0.85,0.52,1.3,1.264,3.264,Non-Zintl
Ge3La2O9,83341,2,2.88,3.523,0.174,1,1,11.7,2.19,198.94,0.54,3.27,Non-Zintl
Ge3N4,97569,220,1.63,5.127,0.034,5,1,39.66,1.84,3488.98,1.49,6.11,Non-Zintl
Ge3N4,637158,159,2.01,1.956,0.049,2,1,20.57,7.11,1779.94,1.28,5.81,Non-Zintl
Ge3N4,658934,176,1.91,2.273,0.052,3,1,42.35,5.98,1752.9,1.39,4.49,Non-Zintl
Ge3N4,156339,62,1.38,0.34,0.026,1,1,12.12,109.34,5231.01,2.01,9.44,Non-Zintl
Ge3N4,87767,227,1.94,4.863,0.072,4,1,16.25,2.36,1306.17,1.26,3.93,Non-Zintl
Ge3Na1P3,184000,26,1.12,0.611,0.169,3,1,1.62,5.85,40.19,4.8,3.46,Non-Zintl
Ge3Nb1O9Rb1,10382,188,3.33,3.562,0.63,3,1,2.57,1.04,14.01,1.66,1.56,Non-Zintl
Ge4O9Pb1,201282,5,3.48,3.158,1.215,6,2,13.88,2.08,8.73,3.05,1.81,Non-Zintl
Ge4S10Tl4,640,15,2.084,3.49,1.868,1,2,0.76,0.41,0.46,3.132,2.832,Non-Zintl
GeC,182363,216,1.65,0.522,0.136,3,3,132.54,55.63,420.41,1.93,4.34,Non-Zintl
GeZnAs2,610627,122,0.05,0.344,0.007,3,1,6.39,34.7,11966.36,4.91,16.94,Non-Zintl
GeZnP2,637513,122,1.17,0.25,0.094,3,5,11.98,71.17,310.14,4.96,14.91,Non-Zintl
Hf1N2Sr1,82538,166,0.56,0.424,0.125,2,3,10.63,65.67,410.32,2.2,6.86,Non-Zintl
Hf1O2,173968,62,3.68,1.197,0.519,2,1,8.92,18.55,64.97,1.88,1.55,Non-Zintl
Hf1O2,53033,225,4.09,0.372,0.563,13,3,31.97,127.41,68.4,13.74,2.47,Non-Zintl
Hf1O2,173966,137,4.62,1.016,0.464,2,1,49.65,20.75,67.37,1.65,1.32,Non-Zintl
Hf1O2,57385,14,4.36,3.304,1.742,1,1,10.17,3.76,9.81,0.47,0.69,Non-Zintl
Hf1O2,71354,61,4.57,2.246,1.684,2,2,7.38,7.76,11.95,1.42,1.69,Non-Zintl
Hf1O3Pb1,161702,221,2.33,2.515,0.079,5,3,3.11,4.74,847.51,2.17,10.38,Non-Zintl
Hf1O3Sr1,89383,62,4.63,7.294,0.331,2,3,10.2,0.91,93.49,0.63,6.08,Non-Zintl
Hf1O3Sr1,161594,99,4.13,1.75,0.245,5,3,8.26,7.48,142.35,2.41,4.7,Non-Zintl
Hf1O3Sr1,164620,221,4.13,1.256,0.332,9,3,3.93,13.19,97.27,5.12,3.8,Non-Zintl
Hf1O3Sr1,89384,63,4.36,1.228,0.336,6,1,4.29,13.09,91.51,5.53,2.01,Non-Zintl
Hf1O3Sr1,161597,74,4.37,0.898,0.306,11,1,12.28,21.03,105.97,9.86,1.71,Non-Zintl
Hf1O3Sr1,86830,62,4.63,7.334,0.323,2,3,14.97,0.9,97.01,0.63,6.18,Non-Zintl
Hf1O3Sr1,161598,140,4.49,1.526,0.445,9,2,17.3,9.25,58.64,5.94,2.76,Non-Zintl
Hf1O3Sr1,161595,127,4.06,1.807,0.286,2,2,18.88,7.13,113.06,1.19,3.6,Non-Zintl
Hf1O3Sr1,161593,221,4.13,1.254,0.325,9,3,3.93,13.23,100.27,5.13,3.84,Non-Zintl
Hf1O4Si1,59111,141,5.69,2.89,3.554,1,3,28.52,5.04,3.69,0.41,1.1,Non-Zintl
Hf1Pb1S3,65668,62,1.7,0.658,0.489,4,4,1.13,4.64,7.24,9.4,11.24,Non-Zintl
Hf1S2,638847,164,1.69,1.093,1.204,2,3,0.19,0.21,0.18,3.62,5.12,Non-Zintl
Hf1S3,638846,11,1.42,1.307,0.75,3,1,0.31,0.18,0.42,4.56,2.12,Non-Zintl
Hf1S3Sn1,65667,62,1.42,0.872,0.865,2,2,0.86,1.83,1.85,4.06,4.07,Non-Zintl
Hf1S4Tl4,261210,2,1.541,0.722,0.511,6,1,0.7,1.61,4.4,9.546,3.877,Non-Zintl
Hf1Se2,603743,164,1.02,0.774,0.957,2,3,0.16,0.35,0.26,5.02,6.63,Non-Zintl
Hf1Se3,638898,11,0.46,1.127,1.352,2,1,0.32,0.35,0.27,3.99,1.79,Non-Zintl
Hf1Te2,603713,164,0.1,0.275,0.642,2,3,0.22,3.2,0.9,8.75,7.89,Non-Zintl
Hf1Te5,85509,63,0.19,0.584,0.173,1,4,0.38,1.33,8.24,2.98,24.69,Non-Zintl
Hf2La2O7,153815,227,4.24,3.328,10.915,3,2,18.36,3.09,0.52,1.54,0.5,Non-Zintl
Hf2O7Y2,153819,227,3.4,1.552,0.219,5,1,20.31,10.04,189.32,3.96,2.56,Non-Zintl
Hf3N4,97997,220,1.42,0.659,0.122,3,2,20.15,45.28,565.67,4.36,7.99,Non-Zintl
Hf5K4O12,180186,164,3.01,2.366,0.483,1,1,4.32,4.24,46.03,0.63,1.62,Non-Zintl
HfC,185992,216,0.51,0.894,2.812,12,2,66.65,21.47,3.85,6.94,0.58,Non-Zintl
Hg1In2S4,56081,227,0.37,3.876,0.013,3,1,3.3,0.97,5052.66,1.38,14.09,Non-Zintl
Hg1In2Se4,25649,82,0.64,0.926,0.026,2,1,2.35,3.21,691.28,2.55,10.95,Non-Zintl
Hg1In2Te4,25652,82,0.53,0.619,0.021,2,1,2.3,5.66,921.58,3.2,12.26,Non-Zintl
Hg1K1S3Sb1,63623,15,1.811,1.872,0.551,4,4,0.74,0.14,2.79,1.04,10.679,Non-Zintl
Hg1K2O2,27410,139,2.05,5.357,0.753,2,1,1.59,0.24,4.61,0.76,1.24,Non-Zintl
Hg1K2S2,74500,57,2.13,4.449,0.395,2,1,0.87,0.14,5.38,1.28,2.73,Non-Zintl
Hg1K2Se4Sn1,413308,121,1.49,1.214,0.096,4,1,0.84,1.55,69.76,4.68,5.36,Non-Zintl
Hg1K4P2,67263,166,0.96,3.317,0.135,6,1,1.12,0.32,39.63,2.71,3.09,Non-Zintl
Hg1K6S4,660294,186,1.72,1.978,0.161,4,1,1.39,0.9,39.02,3.15,3.55,Non-Zintl
Hg1K6Se4,639060,186,1.42,3.551,0.13,1,1,1.07,0.31,43.86,0.63,4.61,Non-Zintl
Hg1Mo1O4,2533,15,2.12,0.894,1.174,7,2,2.82,5.52,3.67,11.1,2.69,Non-Zintl
Hg1N6,21029,29,2.5,4.681,4.464,3,2,0.69,0.06,0.07,2.04,1.4,Non-Zintl
Hg1Na2O2,25511,139,1.61,5.94,0.28,2,1,2.23,0.32,31.37,0.72,2.26,Non-Zintl
Hg1Na4P2,67260,166,0.89,1.767,0.075,2,1,1.44,1.2,138.06,1.32,4.4,Non-Zintl
Hg1O1,24062,152,1.15,4.546,1.681,2,1,1.12,0.25,1.1,1.5,1.36,Non-Zintl
Hg1O1,639125,154,1.15,4.57,1.682,2,1,1.08,0.24,1.07,1.51,1.37,Non-Zintl
Hg1O1,15890,62,1.08,1.138,1.179,8,2,0.87,1.67,1.58,15.34,3.75,Non-Zintl
Hg1O1,32561,2,1.02,0.944,1.15,10,2,0.68,1.74,1.3,26.17,4.65,Non-Zintl
Hg1O2,24774,61,0.18,0.947,0.261,2,2,1.49,3.44,23.76,3.8,8.23,Non-Zintl
Hg1O2Rb2,66276,139,1.99,3.117,0.692,4,1,1.37,0.47,4.46,2.3,1.42,Non-Zintl
Hg1O2Sr1,69739,154,2.14,1.945,0.318,2,1,4.93,2.17,32.81,1.62,2.4,Non-Zintl
Hg1O2Sr1,165068,166,2.14,1.884,0.407,2,1,7.6,2.3,22.92,1.19,1.49,Non-Zintl
Hg1O3Ti1,19005,161,1.37,2.676,0.157,2,1,27.37,4.77,334.85,0.96,2.64,Non-Zintl
Hg1O3V1,82242,2,2.07,0.652,1.301,3,2,2.99,7.83,2.78,5.25,2.31,Non-Zintl
Hg1Rb6S4,639158,186,1.61,3.749,0.163,7,1,1.06,0.3,33.23,4.42,4.14,Non-Zintl
Hg1Rb6Se4,639159,186,1.36,2.433,0.133,4,1,0.9,0.51,39.53,3.52,5.03,Non-Zintl
Hg1S1,31129,152,1.56,1.783,0.455,4,1,0.45,0.33,2.56,5.75,3.26,Non-Zintl
Hg1S1,169617,154,1.55,1.774,0.451,4,1,0.37,0.26,2,6.06,3.44,Non-Zintl
Hg1Se1,639202,154,0.88,1.757,0.412,2,1,0.4,0.32,2.83,3.08,3.68,Non-Zintl
Hg1Te1,639251,154,0.5,0.565,0.238,1,1,0.5,2.87,10.52,2.64,4.44,Non-Zintl
Hg1Te1,41593,152,0.52,0.568,0.235,1,1,0.51,2.94,11.01,2.6,4.41,Non-Zintl
Hg2N6,98661,14,2.14,0.472,3.071,3,1,0.38,1.05,0.06,8.51,0.92,Non-Zintl
Hg2Se4Sn1,95061,82,0.26,0.827,0.018,2,1,1.97,3.69,1140.79,2.95,14.64,Non-Zintl
Hg2Se4Sn1,165096,82,0.26,0.821,0.018,2,1,1.97,3.74,1118.31,2.97,14.53,Non-Zintl
Hg3K2S8Sn2,281505,41,1.38,0.497,0.133,4,1,0.92,4.56,32.81,11.24,6.19,Non-Zintl
Hg3Rb2S8Sn2,85599,14,1.69,4.364,0.22,3,1,0.9,0.17,15.4,2.26,4.52,Non-Zintl
Hg3S4Tl2,182745,15,1.587,3.132,0.368,2,1,0.54,0.99,4.44,26.2,4.302,Non-Zintl
Hg4S6Si1,95227,9,0.45,1.413,0.031,5,1,2,2.32,715.73,6.52,12.92,Non-Zintl
Hg4Se6Si1,95228,9,0.15,0.941,0.029,4,1,1.46,3.51,647.14,7.37,14.85,Non-Zintl
Hg6O7Si2,69123,12,1.39,2.017,0.985,1,2,1.66,1.3,3.81,1.19,3.67,Non-Zintl
HgSiP2,247969,122,1.03,0.273,0.03,1,1,8.93,63.08,1731.71,1.8,6.76,Non-Zintl
In1K1O2,380401,166,2.11,3.86,0.078,8,1,3.65,1.35,467.82,3.33,4.31,Non-Zintl
In1K1Te2,73410,140,1,1.076,0.096,2,1,0.76,1.67,62.89,2.48,5.3,Non-Zintl
In1K2Na1P2,300132,72,1.06,1.618,0.037,2,1,1.35,1.34,386.14,1.5,7.22,Non-Zintl
In1K2Na1Sb2,77181,64,0.59,0.982,0.044,2,1,1.02,2.29,244.59,2.89,9.35,Non-Zintl
In1K3P2,73281,72,0.79,1.932,0.053,5,1,1.32,0.81,180.56,3.41,5.93,Non-Zintl
In1La1O3,281549,62,2.66,0.773,0.161,8,1,9.5,24,253.47,9.71,3.12,Non-Zintl
In1Li1S2,53093,33,2.222,1.092,0.111,3,1,2.81,4.11,110.55,3.621,3.947,Non-Zintl
In1Na1O2,34600,166,1.93,8.727,0.072,2,1,5.83,0.41,546.84,0.39,3.45,Non-Zintl
In1Na1O6Si2,183786,15,3.55,4.058,0.121,2,1,8.3,1.39,269.39,0.84,3.44,Non-Zintl
In1Na1S2,640036,166,1.84,2.506,0.198,3,4,3.27,1.39,62.52,1.21,7.4,Non-Zintl
In1Na1Se2,25558,166,1.02,1.868,0.063,3,4,2.02,1.76,281.27,1.71,17.42,Non-Zintl
In1Na1Te2,25346,140,0.62,0.989,0.062,2,1,0.86,2.3,146.74,2.57,6.78,Non-Zintl
In1Na5O4,69630,59,1.79,5.248,0.09,6,1,3.18,0.48,217.05,2.3,4.4,Non-Zintl
In1Na5S4,300175,11,2.02,1.319,0.086,1,1,1.77,1.78,107.23,0.95,4.89,Non-Zintl
In1O3Y1,251,185,2.02,2.835,0.117,5,1,6.27,3.45,411.06,2.85,3.85,Non-Zintl
In1P1,24517,216,0.48,0.547,0.012,3,1,27.72,17.71,5284.66,2.21,7.2,Non-Zintl
In1P1,180911,186,0.55,0.473,0.012,3,1,14.46,22.18,5353.05,2.98,8.91,Non-Zintl
In1P3Sr3,65056,62,0.83,0.472,0.259,2,2,1.79,14.25,35.1,3.93,5.64,Non-Zintl
In1Rb1Te2,75346,140,1.13,0.913,0.117,4,1,0.67,1.83,40.06,5.82,5,Non-Zintl
In1S1,81339,58,1.32,0.296,0.189,4,2,0.76,6.48,12.64,13.59,8.88,Non-Zintl
In1S1,409645,14,1.27,0.29,0.183,4,2,0.62,6.71,13.36,13.76,9.06,Non-Zintl
In1S2Tl1,25355,194,0.523,0.682,0.293,1,2,1.76,1.95,34.94,0.14,4.443,Non-Zintl
In1S2Tl1,600748,140,0.923,0.171,0.108,7,1,0.92,2.71,76.35,0.662,5.089,Non-Zintl
In1S2Tl1,654688,187,0.523,0.686,0.292,1,2,1.47,1.96,35.02,0.141,4.446,Non-Zintl
In1S2Tl1,600863,15,1.55,0.372,0.124,1,1,0.88,1.97,45.07,0.447,6.891,Non-Zintl
In1S2Tl1,108557,166,0.624,0.46,0.086,1,3,2.2,1.09,224.6,0.027,11.213,Non-Zintl
In1S3Sb1,300207,62,1.508,1.851,0.356,8,2,1.04,0.6,7.99,7.912,6.256,Non-Zintl
In1Se1,640503,187,0.73,0.878,0.037,1,1,0.24,0.26,29.81,2.04,13.67,Non-Zintl
In1Se1,41477,160,0.76,1.279,0.043,1,1,0.21,0.16,26.46,1.63,12.51,Non-Zintl
In1Se1,30377,194,0.74,1,0.03,1,1,0.24,0.2,38.26,0.94,15.28,Non-Zintl
In1Si1Te3,66356,147,0.58,0.431,0.308,6,3,0.47,2.5,4.14,18.71,11.45,Non-Zintl
In2Li2S6Si1,262642,9,2.144,0.924,0.172,3,1,2.2,2.99,42.13,3.31,3.58,Non-Zintl
In2Mg1O4,157770,227,1.86,4.91,0.062,5,1,8.64,1.44,1016.93,1.71,4.72,Non-Zintl
In2Mg1S4,639944,227,1.79,4.866,0.096,3,4,4.76,0.72,259.64,1.01,14.15,Non-Zintl
In2Mn1Te4,639984,121,0.36,0.553,0.054,1,0.5,3.27,7.6,248.5,1.52,3.06,Non-Zintl
In2Na6S6,300165,15,2.28,3.692,0.127,2,1,1.82,0.41,63.42,1.1,4.15,Non-Zintl
In2O3,24325,167,0.99,3.67,0.024,7,1,35.39,2.52,4884.07,2.69,7.93,Non-Zintl
In2O3,181834,60,0.8,5.859,0.021,5,1,6.55,1.32,6258.53,1.8,10.66,Non-Zintl
In2O3,162251,62,0.7,3.855,0.024,3,1,2.65,1.28,2637.36,1.76,12.44,Non-Zintl
In2O4Sr1,16241,62,1.83,4.866,0.046,6,1,3.85,1.4,1515.9,2.76,7.52,Non-Zintl
In2O5Sr2,22029,46,1,1.162,0.089,1,1,6.17,10.01,473.74,0.9,4.23,Non-Zintl
In2O7Si2,1458,227,1.84,6.96,0.051,2,1,40.31,1.49,2403.33,0.56,5.37,Non-Zintl
In2O7Si2,409452,12,2.74,6.024,0.09,3,1,31.78,1.2,659.92,0.75,3.12,Non-Zintl
In2P2Sr1,260563,194,0.2,0.114,0.021,1,1,3.53,178.42,2254.27,3.17,8.76,Non-Zintl
In2P4Sr3,61335,58,0.6,0.518,0.048,1,1,1.86,12.25,434.71,1.69,7.06,Non-Zintl
In2Pb1S4,100687,62,1.42,1.218,0.841,7,2,3,4.35,7.58,8.99,3.21,Non-Zintl
In2Rb4S5,23253,2,2.11,4.812,0.147,2,1,1.07,0.17,31.79,1.12,4.52,Non-Zintl
In2Rb6S6,23252,12,2.28,4.343,0.161,3,1,1.16,0.23,32.16,1.47,3.53,Non-Zintl
In2S3,12148,167,0.33,2.498,0.014,2,1,5.02,2.14,5124.51,0.96,10.75,Non-Zintl
In2S4Zn1,16200,186,0.14,0.619,0.043,4,1,1.5,5.48,303.88,7.14,8.9,Non-Zintl
In2S4Zn1,44637,156,0.14,0.993,0.041,2,1,1.86,2.75,327.97,2.24,7.57,Non-Zintl
In2S4Zn1,15637,227,1.15,4.163,0.026,4,1,4.67,0.97,1933.31,1.56,8.15,Non-Zintl
In2S4Zn1,660273,164,0.32,2.126,0.14,2,1,0.25,0.04,2.49,1.76,4.51,Non-Zintl
In2S4Zn1,640407,160,0.16,0.985,0.043,2,1,1.97,2.75,300.38,2.26,7.37,Non-Zintl
In2S4Zn1,81811,227,1.15,4.183,0.026,4,1,4.83,0.96,1990.47,1.55,8.25,Non-Zintl
