,sorted_name,Model,Model_Type,Specifier,Value,Temperature_Value,Value_Average,Temperature_Average
994,Mg3Sb2,ThermCond,lattice,κph,[0.72],[700.0],0.72,700.0
996,Mo3Sb7,ThermCond,total,κ,[7.37],[805.0],7.37,805.0
997,Mo29NiSb70,ThermCond,total,κ,[6.33],[805.0],6.33,805.0
998,Mo14NiSb35,ThermCond,total,κ,[6.57],[805.0],6.57,805.0
999,Fe2Mo13Sb35,ThermCond,lattice,κL,[1.45],[325.0],1.45,325.0
1000,Mn100Si177,ThermCond,total,thermal conductivity,[3.45],[295],3.45,295.0
1001,SeSn,ThermCond,total,κ,[0.44],[294.0],0.44,294.0
1002,SeSn,ThermCond,total,κ,[0.23],[973.0],0.23,973.0
1003,Mg3Sb2,ThermCond,total,thermal conductivity,[1.4],[295],1.4,295.0
1004,PbTe,ThermCond,lattice,lattice thermal conductivity,[0.42],[800.0],0.42,800.0
1005,PbTe,ThermCond,total,thermal conductivity,[2.17],[300.0],2.17,300.0
1006,Mg215Sb2Sn98,ThermCond,total,κ,[4.7],[650.0],4.7,650.0
1007,Mg2Sn,ThermCond,lattice,κL,[1.5],[650.0],1.5,650.0
1008,FeSbV,ThermCond,total,thermal conductivity,"[10.0, 13.0]",[295],11.5,295.0
1009,FeSbV,ThermCond,total,thermal conductivity,"[4.0, 5.0]",[300.0],4.5,300.0
1010,BiSb3Te6,ThermCond,total,κ,[0.58],[600.0],0.58,600.0
1011,BiTe,ThermCond,total,thermal conductivities,[4.5],[300.0],4.5,300.0
1012,Bi103Te97,ThermCond,total,thermal conductivity,[1.83],[300.0],1.83,300.0
1013,CoSb3,ThermCond,total,thermal conductivity,[10.0],[295],10.0,295.0
1015,AgV,ThermCond,lattice,lattice thermal conductivity,[0.1],[814.0],0.1,814.0
1016,Ag90Mg97Sb95Zn3,ThermCond,total,κtot,[1.09],[473.0],1.09,473.0
1017,BiCuOSe,ThermCond,total,thermal conductivity,[0.97],[373.0],0.97,373.0
1018,Bi2Te3,ThermCond,total,thermal conductivity,[2.0],[373.0],2.0,373.0
1019,Bi4Cu5O5PbSe5,ThermCond,total,thermal conductivity,[1.58],[373.0],1.58,373.0
1020,BiCuOSe,ThermCond,total,thermal conductivity,[0.54],[300.0],0.54,300.0
1021,Ba7Co400Sb1200Sr7Yb7,ThermCond,total,minimum thermal conductivity λmin,[0.6400000000000001],[295],0.64,295.0
1022,SSr,ThermCond,total,Thermal conductivity,"[2.9000000000000004, 3.6]",[835.0],3.25,835.0
1023,CNT,ThermCond,lattice,κL,"[0.2, 0.3]",[450.0],0.25,450.0
1024,CNTs,ThermCond,lattice,κL,"[102.0, 103.0]",[300.0],102.5,300.0
1025,Cu2Se,ThermCond,lattice,κL,[0.68],[300.0],0.68,300.0
1026,Bi2Te3,ThermCond,lattice,κlh+κbh,[0.26],[295],0.26,295.0
1028,Bi2Te3,ThermCond,total,thermal conductivity,[1.28],[295],1.28,295.0
1029,CdCu2GeSe4,ThermCond,lattice,λL,[1.37],[336.0],1.37,336.0
1034,BiCu119S130Sb39Zn,ThermCond,total,thermal conductivity,[0.76],[723.0],0.76,723.0
1035,Br20I60P193Sn240,ThermCond,total,thermal conductivity,[0.5],[295],0.5,295.0
