,sorted_name,Model,Model_Type,Specifier,Value,Temperature_Value,Value_Average,Temperature_Average
16041,MgSe,Conductivity,,resistivity,[0.1],[373.0],0.1,373.0
16042,Cu2Sb,Conductivity,,resistivity,[250000.0],[300.0],250000.0,300.0
16043,Bi2Se3,Conductivity,,resistivity,[25188.916876574305],"[300.0, 590.0]",25188.9168765743,445.0
16044,Bi100CuSe150,Conductivity,,resistivity,[36630.03663003663],[300.0],36630.0366300366,300.0
16045,O2Sn,Conductivity,,resistivity,[0.9433962264150942],[300.0],0.9433962264,300.0
16046,Boron,Conductivity,,resistivity,[200.0],[298.0],200.0,298.0
16049,Ga4Sr,Conductivity,,resistivity,[3134796238.2445145],[295],3134796238.244514,295.0
16050,Cu2Te,Conductivity,,resistivity,[500000.0],"[325.0, 650.0]",500000.0,487.5
16051,C2S,Conductivity,,ρ,[67934782.60869566],[295],67934782.60869566,295.0
16052,OZn,Conductivity,,resistivity,[98039.2156862745],[295],98039.21568627449,295.0
16053,OZn,Conductivity,,resistivity,[98039.2156862745],[295],98039.21568627449,295.0
16054,O2Ti,Conductivity,,resistivity,[0.003076923076923077],"[745.0, 1032.0]",0.0030769231,888.5
16055,AgCo9Na6O20,Conductivity,,resistivity,[33112.58278145696],[765.0],33112.582781457,765.0
16057,NiSnTi,Conductivity,,resistivity,[6060.60606060606],[295],6060.6060606061,295.0
16058,CrLaO3,Conductivity,,resistivity,[33.00330033003301],[756.0],33.00330033,756.0
16059,Fe47Si100Zr3,Conductivity,,resistivity,[43478.260869565216],[700.0],43478.2608695652,700.0
16060,Cu13S16Sn3V,Conductivity,,ρ,[9090.909090909092],[660.0],9090.909090909101,660.0
16061,LuNiSb,Conductivity,,resistivity,[41666.666666666664],[295],41666.6666666667,295.0
16062,GdNiSb,Conductivity,,resistivity,[125000.0],[80.0],125000.0,80.0
16063,Co2NaO4,Conductivity,,resistivity,[500000.0],[300.0],500000.0,300.0
20772,Al25Co20Fe73La2O200Zn30,Conductivity,,conductivity,[0.0117],[790.0],0.0117,790.0
20773,NiSnZr,Conductivity,,σ,[0.000585],[800.0],0.000585,800.0
20774,NiSnZr,Conductivity,,σ,[0.00059],[800.0],0.00059,800.0
20775,HfNi2Sn2Zr,Conductivity,,σ,[0.0014800000000000002],[800.0],0.0014800000000000002,800.0
20776,Bi2S3,Conductivity,,electrical conductivity,[5000.0],[300.0],5000.0,300.0
20777,Fe2Mo13Sb30Te5,Conductivity,,electrical conductivity,[482000.0],[300.0],482000.0,300.0
20778,CdCu2S4Sn,Conductivity,,electrical conductivity,[7.38e+18],[800.0],7.38e+18,800.0
20779,Antimony,Conductivity,,σ,[105.0],[300.0],105.0,300.0
20781,Bi2Te3,Conductivity,,electrical conductivity,[80000.0],[300.0],80000.0,300.0
20782,ClFeO,Conductivity,,conductivity,[9.999999999999999e-06],[295],1e-05,295.0
20783,GdTe6Tl9,Conductivity,,electrical conductivity,[85000.0],[295],85000.0,295.0
20784,LaTe6Tl9,Conductivity,,σ,[29000.0],[300.0],29000.0,300.0
20785,BCOY,Conductivity,,electrical conductivity,[84000.0],[373.0],84000.0,373.0
20786,BCOY,Conductivity,,highest electrical conductivity,[12500.0],[300.0],12500.0,300.0
20787,Ca14Co20CuO45,Conductivity,,highest electrical conductivity,[5120.0],[973.0],5120.0,973.0
20788,Ca14Co20CuO45,Conductivity,,highest electrical conductivity,[4560.0],[973.0],4560.0,973.0
20789,OZn,Conductivity,,conductivity,[8700.0],[295],8700.0,295.0
20792,AlMnPd,Conductivity,,electrical conductivity,"[50000.0, 80000.0]",[295],65000.0,295.0
20793,CoSbTi,Conductivity,,σ,[4000.0],[295],4000.0,295.0
20794,Co9NiSb10Ti10,Conductivity,,σ,[100000.0],[295],100000.0,295.0
20795,CrSi2,Conductivity,,electrical conductivity,[100000.0],[295],100000.0,295.0
20796,Sn11Te30Tl39,Conductivity,,σ,[12100.0],[526.0],12100.0,526.0
20797,SnTe6Tl9,Conductivity,,σ,[163000.0],[295],163000.0,295.0
20798,Sn11Te30Tl39,Conductivity,,σ,[25000.0],[295],25000.0,295.0
20799,S3Tl2Zr,Conductivity,,electrical conductivity,[0.0007099999999999999],[295],0.0007099999999999999,295.0
20800,S3Tl2Zr,Conductivity,,electrical conductivity,[0.0007099999999999999],[295],0.0007099999999999999,295.0
20801,Te3Tl2Zr,Conductivity,,conductivity,[3000.0],[295],3000.0,295.0
20802,Bi,Conductivity,,electrical conductivity,[300.0],[295],300.0,295.0
20803,CMNTW,Conductivity,,electrical conductivity,[45000.0],[323.0],45000.0,323.0
20804,CMNTW,Conductivity,,electrical conductivity,[50000.0],[323.0],50000.0,323.0
20805,CMNTW,Conductivity,,electrical conductivity,[47000.0],[773.0],47000.0,773.0
20806,Co9Na5O20Zn,Conductivity,,conductivity,[12700.0],[1073.0],12700.0,1073.0
20807,BiBrTe,Conductivity,,conductivity,[67000.0],[295],67000.0,295.0
20808,NiSe,Conductivity,,σ,[500000.0],[1373.0],500000.0,1373.0
20810,Fe20SbSn9Ti10,Conductivity,,conductivity,[3300.0],[295],3300.0,295.0
